filename,label,ipd_px,left_eye_open,right_eye_open,eye_aperture_asymmetry,eye_aperture_ratio,mouth_corner_height_diff,mouth_left_deviation,mouth_right_deviation,mouth_deviation_asymmetry,left_brow_height,right_brow_height,brow_height_asymmetry,brow_height_ratio,mouth_width,mouth_angle,eye_angle,left_eye_width,right_eye_width,eye_width_asymmetry
11/2636,Normal,157.108,0.211,0.2056,0.0054,0.9744,0.0114,0.4504,0.4508,0.0004,0.395,0.4006,0.0056,0.986,0.9013,0.727,0.0212,0.5034,0.5013,0.0021
11/2641,Normal,157.314,0.2161,0.2096,0.0064,0.9703,0.003,0.4419,0.4544,0.0126,0.393,0.3963,0.0033,0.9916,0.8963,0.1897,0.2844,0.5023,0.5021,0.0002
11/2646,Normal,157.989,0.2183,0.209,0.0094,0.9571,0.0147,0.4466,0.4416,0.0051,0.3972,0.3993,0.0021,0.9948,0.8884,0.9455,0.1787,0.4984,0.4946,0.0037
11/2651,Normal,157.815,0.2221,0.2143,0.0079,0.9645,0.0143,0.4402,0.4503,0.0101,0.3988,0.4028,0.0039,0.9902,0.8906,0.9174,0.042,0.5041,0.5013,0.0028
11/2656,Normal,157.289,0.2192,0.212,0.0072,0.9671,0.0155,0.4468,0.4481,0.0013,0.4019,0.4049,0.003,0.9925,0.895,0.9947,0.1995,0.5071,0.503,0.0041
11/2661,Normal,157.593,0.2234,0.2151,0.0083,0.9628,0.0032,0.4603,0.436,0.0242,0.412,0.4087,0.0034,0.9918,0.8963,0.2025,0.3912,0.5052,0.4992,0.006
11/2666,Normal,157.391,0.2191,0.2105,0.0085,0.961,0.0037,0.4622,0.4411,0.0211,0.4123,0.4099,0.0024,0.9942,0.9034,0.2349,0.5581,0.5083,0.5022,0.0061
11/2671,Normal,157.754,0.2165,0.2073,0.0092,0.9575,0.0066,0.4687,0.4386,0.0301,0.4083,0.4133,0.005,0.9879,0.9073,0.4182,0.1132,0.5051,0.4967,0.0084
11/2676,Normal,158.426,0.2147,0.2059,0.0088,0.9588,0.0036,0.4659,0.4417,0.0242,0.4056,0.4069,0.0013,0.9969,0.9077,0.2256,0.3311,0.5041,0.4992,0.0049
11/2681,Normal,158.701,0.2144,0.2061,0.0084,0.961,0.0109,0.4609,0.4457,0.0152,0.4055,0.4043,0.0012,0.9969,0.9066,0.6909,0.5129,0.5043,0.5003,0.004
11/2686,Normal,158.167,0.213,0.2053,0.0077,0.9638,0.0094,0.4669,0.4435,0.0234,0.407,0.4066,0.0004,0.9991,0.9104,0.5885,0.4831,0.5056,0.4995,0.0061
11/2691,Normal,158.266,0.2158,0.2075,0.0084,0.9612,0.0114,0.4691,0.4456,0.0235,0.4058,0.406,0.0002,0.9996,0.9148,0.7171,0.3653,0.5041,0.4989,0.0052
11/2696,Normal,158.004,0.2152,0.2071,0.0081,0.9623,0.0109,0.4707,0.4478,0.0229,0.4049,0.4068,0.0018,0.9955,0.9186,0.6777,0.1866,0.5044,0.4982,0.0062
11/2701,Normal,157.832,0.212,0.2038,0.0082,0.9613,0.0063,0.4695,0.4466,0.0228,0.4053,0.4039,0.0014,0.9966,0.9161,0.396,0.4825,0.5033,0.4981,0.0053
11/2706,Normal,157.913,0.2147,0.2056,0.0091,0.9578,0.0087,0.4677,0.4427,0.025,0.4069,0.411,0.004,0.9902,0.9104,0.5498,0.3664,0.5058,0.4971,0.0087
11/271,SlightPalsy,153.357,0.1582,0.1657,0.0075,0.9549,0.0175,0.4267,0.4206,0.0061,0.4627,0.4691,0.0064,0.9863,0.8475,1.1828,0.3164,0.4739,0.4741,0.0001
11/2711,Normal,157.796,0.211,0.2028,0.0081,0.9615,0.0069,0.4667,0.4433,0.0235,0.4088,0.4111,0.0023,0.9945,0.91,0.4351,0.4042,0.5021,0.4944,0.0077
11/2721,SlightPalsy,158.519,0.184,0.1781,0.0059,0.9681,0.0128,0.4118,0.4425,0.0307,0.4605,0.4506,0.0099,0.9784,0.8545,0.8588,0.1371,0.4753,0.4786,0.0033
11/2776,Normal,158.914,0.1749,0.1737,0.0012,0.9934,0.0091,0.4388,0.4151,0.0237,0.4501,0.4486,0.0015,0.9968,0.8539,0.6102,0.1509,0.475,0.4673,0.0077
11/2791,SlightPalsy,158.958,0.1982,0.1875,0.0107,0.9461,0.0686,0.3888,0.3691,0.0197,0.4436,0.4457,0.0021,0.9952,0.761,5.1735,0.0761,0.4962,0.4753,0.0209
11/2811,SlightPalsy,159.716,0.1917,0.1881,0.0036,0.9814,0.0092,0.4057,0.3986,0.0072,0.4555,0.4495,0.006,0.9868,0.8044,0.6565,0.6804,0.4802,0.4737,0.0065
11/2821,SlightPalsy,158.76,0.1503,0.1697,0.0194,0.8857,0.0956,0.4075,0.436,0.0285,0.4221,0.4245,0.0025,0.9942,0.8489,6.4677,0.7052,0.4587,0.4735,0.0148
11/286,SlightPalsy,156.013,0.1711,0.1789,0.0079,0.9561,0.0085,0.4358,0.4061,0.0297,0.468,0.4687,0.0007,0.9986,0.8419,0.5793,0.8147,0.4806,0.4691,0.0115
11/2861,SlightPalsy,159.381,0.1878,0.1826,0.0052,0.9725,0.0281,0.4163,0.4291,0.0128,0.4407,0.4285,0.0121,0.9725,0.8458,1.9046,0.0388,0.4766,0.4793,0.0027
11/2871,SlightPalsy,160.23,0.1797,0.1843,0.0046,0.975,0.0015,0.3757,0.4264,0.0507,0.4091,0.4142,0.0052,0.9875,0.802,0.1062,0.0181,0.4663,0.4845,0.0182
11/2886,SlightPalsy,158.912,0.1684,0.167,0.0014,0.9915,0.0065,0.3789,0.4181,0.0392,0.4539,0.4479,0.006,0.9868,0.7969,0.4654,0.5031,0.4624,0.4736,0.0112
11/2891,SlightPalsy,158.686,0.1825,0.1754,0.007,0.9614,0.0168,0.3862,0.4124,0.0262,0.4455,0.4394,0.006,0.9865,0.7988,1.2062,0.5437,0.4759,0.4757,0.0002
11/291,SlightPalsy,157.265,0.1728,0.1763,0.0035,0.9804,0.0069,0.4265,0.4016,0.0249,0.4657,0.4617,0.004,0.9914,0.8281,0.4764,1.1006,0.4782,0.4652,0.013
11/2951,Normal,160.59,0.1917,0.1831,0.0086,0.9552,0.0138,0.3767,0.4069,0.0301,0.4432,0.4378,0.0054,0.9877,0.7837,1.0056,0.1079,0.4711,0.4818,0.0107
11/296,SlightPalsy,156.963,0.1754,0.181,0.0057,0.9686,0.0249,0.4589,0.4036,0.0552,0.4642,0.462,0.0022,0.9954,0.8628,1.651,1.1863,0.4919,0.4752,0.0167
11/2966,SlightPalsy,158.025,0.1956,0.1871,0.0085,0.9564,0.0497,0.3991,0.3341,0.0649,0.4547,0.4502,0.0046,0.99,0.7349,3.8796,0.5762,0.492,0.4719,0.0201
11/2981,Normal,156.879,0.1573,0.1487,0.0086,0.9452,0.0078,0.394,0.4454,0.0514,0.4653,0.4543,0.0109,0.9765,0.8394,0.5297,0.107,0.4691,0.4796,0.0105
11/301,SlightPalsy,156.462,0.1785,0.1817,0.0032,0.9822,0.0291,0.469,0.3961,0.073,0.4633,0.4627,0.0006,0.9988,0.8656,1.9274,1.0249,0.4906,0.4671,0.0235
11/3011,Normal,160.074,0.1851,0.1855,0.0004,0.9978,0.0194,0.3934,0.3979,0.0045,0.4391,0.4288,0.0103,0.9764,0.7915,1.4076,0.2681,0.4745,0.4739,0.0006
11/3016,Normal,159.954,0.1916,0.1922,0.0005,0.9974,0.0173,0.4007,0.4136,0.013,0.4314,0.422,0.0094,0.9783,0.8145,1.2204,0.6075,0.4793,0.4836,0.0042
11/3021,Normal,159.746,0.2003,0.1986,0.0016,0.9918,0.001,0.4091,0.3994,0.0097,0.4277,0.4268,0.0009,0.9979,0.8084,0.0699,0.3913,0.4873,0.4858,0.0015
11/3026,Normal,158.169,0.1966,0.1885,0.0081,0.9587,0.0051,0.4271,0.4023,0.0248,0.4328,0.4251,0.0077,0.9823,0.8294,0.3503,0.6799,0.492,0.4855,0.0065
11/3031,Normal,158.1,0.2042,0.1986,0.0056,0.9726,0.0128,0.4391,0.4051,0.034,0.4331,0.4275,0.0056,0.9871,0.8443,0.8712,0.6842,0.4961,0.4906,0.0055
11/3036,SlightPalsy,159.556,0.2116,0.2174,0.0058,0.9734,0.0436,0.4401,0.3669,0.0732,0.4202,0.4154,0.0048,0.9885,0.8082,3.089,0.8815,0.4928,0.4872,0.0056
11/3041,SlightPalsy,160.936,0.2271,0.2297,0.0027,0.9884,0.0213,0.4193,0.3557,0.0636,0.4167,0.4153,0.0015,0.9965,0.7752,1.5746,0.4154,0.4957,0.4888,0.0069
11/306,SlightPalsy,158.335,0.169,0.1759,0.0069,0.9607,0.0221,0.4695,0.4006,0.0689,0.4543,0.4594,0.0051,0.9889,0.8704,1.4577,0.5528,0.4844,0.4676,0.0168
11/3066,SlightPalsy,158.952,0.1687,0.167,0.0018,0.9893,0.054,0.4591,0.3811,0.078,0.429,0.4308,0.0018,0.9958,0.8419,3.6802,0.4091,0.4838,0.4614,0.0223
11/3071,SlightPalsy,158.111,0.1865,0.1655,0.0211,0.8869,0.1263,0.4399,0.3605,0.0795,0.4437,0.4346,0.009,0.9797,0.8103,8.9666,0.0519,0.496,0.4562,0.0398
11/3076,SlightPalsy,160.276,0.1959,0.1847,0.0112,0.943,0.0852,0.4309,0.3652,0.0656,0.4465,0.4358,0.0107,0.9761,0.8006,6.1053,0.7139,0.4901,0.4692,0.0209
11/3086,SlightPalsy,159.572,0.1748,0.1595,0.0152,0.9128,0.0974,0.4125,0.4017,0.0108,0.4908,0.4776,0.0132,0.9731,0.82,6.8225,0.3251,0.4828,0.4643,0.0185
11/3091,SlightPalsy,161.715,0.1672,0.161,0.0063,0.9625,0.0926,0.39,0.3847,0.0054,0.4811,0.4688,0.0123,0.9744,0.7802,6.8172,0.1519,0.4716,0.4637,0.0079
11/3096,SlightPalsy,161.554,0.1878,0.1772,0.0106,0.9436,0.0661,0.4371,0.399,0.0381,0.4753,0.45,0.0253,0.9468,0.8388,4.5198,0.7711,0.4833,0.4648,0.0186
11/3111,SlightPalsy,158.761,0.1862,0.1912,0.005,0.9738,0.0255,0.4346,0.3427,0.0919,0.453,0.4385,0.0145,0.968,0.7777,1.8799,0.8581,0.4873,0.4674,0.0199
11/3116,SlightPalsy,159.878,0.2191,0.2235,0.0044,0.9804,0.0247,0.4422,0.3531,0.0891,0.4344,0.4219,0.0125,0.9712,0.7956,1.777,0.629,0.5022,0.4758,0.0264
11/3121,SlightPalsy,160.785,0.2014,0.2109,0.0095,0.9552,0.0211,0.4494,0.3668,0.0826,0.4317,0.4144,0.0173,0.9598,0.8164,1.4795,1.1125,0.4839,0.4744,0.0095
11/3126,SlightPalsy,161.092,0.2083,0.2112,0.0029,0.9863,0.0242,0.4542,0.3768,0.0774,0.4237,0.4147,0.0091,0.9786,0.8314,1.6648,0.6664,0.4969,0.4853,0.0116
11/3151,SlightPalsy,159.379,0.1897,0.1938,0.0041,0.9789,0.0073,0.4351,0.3712,0.0638,0.4342,0.4239,0.0103,0.9763,0.8063,0.5168,0.7852,0.4881,0.479,0.0092
11/316,SlightPalsy,157.466,0.1935,0.1964,0.0029,0.9852,0.0037,0.4645,0.3746,0.09,0.4721,0.4567,0.0154,0.9675,0.8391,0.2531,1.1264,0.4951,0.4702,0.0249
11/3176,Normal,157.743,0.1817,0.1791,0.0026,0.9855,0.0097,0.4558,0.4605,0.0047,0.411,0.4105,0.0004,0.9989,0.9164,0.6043,0.4276,0.4856,0.4864,0.0008
11/3181,Normal,158.175,0.1978,0.1928,0.005,0.9747,0.0075,0.4646,0.4562,0.0084,0.3971,0.3997,0.0026,0.9935,0.9209,0.4667,0.5701,0.4968,0.4911,0.0057
11/3186,Normal,158.258,0.1974,0.1966,0.0008,0.9961,0.0032,0.4947,0.4296,0.0651,0.3994,0.4029,0.0035,0.9914,0.9243,0.1989,0.4148,0.4965,0.4844,0.0121
11/3196,Normal,157.329,0.1753,0.1787,0.0034,0.9811,0.0071,0.4548,0.4687,0.0139,0.4118,0.4161,0.0043,0.9896,0.9235,0.4389,0.1474,0.4791,0.4852,0.0061
11/3201,Normal,158.652,0.1978,0.2014,0.0036,0.9821,0.0074,0.4636,0.4429,0.0207,0.406,0.412,0.006,0.9853,0.9065,0.4688,0.1683,0.4917,0.4897,0.002
11/3206,Normal,158.707,0.2048,0.2055,0.0007,0.9965,0.0045,0.4652,0.4414,0.0237,0.399,0.4054,0.0063,0.9844,0.9066,0.2844,0.3634,0.4985,0.4951,0.0034
11/321,SlightPalsy,157.534,0.1917,0.1937,0.002,0.9897,0.0119,0.4602,0.3813,0.0789,0.4695,0.4496,0.0198,0.9577,0.8416,0.8069,1.1932,0.4989,0.4711,0.0278
11/3211,Normal,158.476,0.206,0.2074,0.0014,0.9934,0.0058,0.4642,0.4451,0.0191,0.4003,0.4049,0.0046,0.9886,0.9094,0.363,0.2217,0.4963,0.4947,0.0017
11/3216,Normal,158.21,0.2095,0.2107,0.0012,0.9942,0.0112,0.4664,0.4413,0.0251,0.401,0.4073,0.0063,0.9845,0.9077,0.7065,0.0781,0.4983,0.4954,0.0029
11/3221,Normal,159.153,0.1991,0.1985,0.0006,0.9972,0.0097,0.4749,0.436,0.0389,0.3951,0.4011,0.006,0.985,0.911,0.6083,0.3094,0.4885,0.4841,0.0045
11/3226,Normal,158.816,0.203,0.2048,0.0018,0.9913,0.0097,0.4706,0.4412,0.0294,0.3992,0.4031,0.0039,0.9904,0.9119,0.611,0.3724,0.4957,0.4909,0.0048
11/3236,Normal,157.941,0.2103,0.2081,0.0022,0.9893,0.0155,0.4653,0.4421,0.0232,0.4029,0.4052,0.0023,0.9944,0.9075,0.9804,0.2579,0.4937,0.4881,0.0056
11/3241,Normal,157.754,0.205,0.2059,0.0009,0.9959,0.0175,0.4655,0.4439,0.0217,0.3977,0.4004,0.0027,0.9932,0.9096,1.1052,0.3672,0.4936,0.4904,0.0032
11/3251,SlightPalsy,159.389,0.1813,0.185,0.0037,0.98,0.028,0.422,0.3966,0.0254,0.451,0.441,0.01,0.9779,0.8191,1.9622,0.256,0.4806,0.4761,0.0045
11/3256,SlightPalsy,159.678,0.219,0.2216,0.0026,0.9882,0.0047,0.4482,0.3889,0.0593,0.439,0.4241,0.0149,0.9661,0.8371,0.3187,0.5084,0.4978,0.4783,0.0194
11/326,SlightPalsy,158.419,0.19,0.2,0.01,0.9501,0.0397,0.3965,0.364,0.0325,0.4329,0.4294,0.0034,0.992,0.7615,2.9877,1.2423,0.4959,0.479,0.0169
11/3261,SlightPalsy,159.991,0.1885,0.2018,0.0133,0.9339,0.0138,0.434,0.414,0.02,0.4279,0.4202,0.0077,0.982,0.8482,0.9343,0.4984,0.48,0.4789,0.0012
11/3276,SlightPalsy,159.497,0.2357,0.2322,0.0035,0.9854,0.0478,0.3934,0.4218,0.0284,0.4167,0.4068,0.0099,0.9762,0.8166,3.3567,0.2953,0.4898,0.4931,0.0033
11/3281,SlightPalsy,159.929,0.2133,0.2134,0.0001,0.9994,0.0226,0.425,0.4148,0.0102,0.4168,0.4113,0.0055,0.9868,0.8401,1.5412,0.6122,0.4864,0.4909,0.0045
11/3311,SlightPalsy,159.618,0.1816,0.1787,0.0029,0.984,0.0066,0.4357,0.4219,0.0138,0.4519,0.4522,0.0003,0.9994,0.8576,0.4404,0.6264,0.4853,0.4784,0.0069
11/3316,SlightPalsy,159.228,0.1889,0.1887,0.0002,0.9991,0.0018,0.4165,0.3938,0.0227,0.4472,0.4452,0.002,0.9955,0.8103,0.1254,0.4833,0.4873,0.4798,0.0076
11/3336,SlightPalsy,159.98,0.1931,0.1837,0.0095,0.951,0.0219,0.4858,0.3607,0.1251,0.4599,0.4419,0.018,0.9608,0.8468,1.4827,0.7795,0.4985,0.465,0.0335
11/3346,SlightPalsy,160.565,0.1945,0.1892,0.0053,0.9727,0.0016,0.4706,0.398,0.0725,0.4513,0.4319,0.0195,0.9569,0.8686,0.1053,0.3283,0.49,0.4772,0.0128
11/3356,SlightPalsy,160.753,0.2193,0.1995,0.0197,0.91,0.0635,0.3844,0.375,0.0094,0.4537,0.4298,0.0239,0.9473,0.762,4.7769,0.7373,0.4936,0.4752,0.0184
11/336,SlightPalsy,157.983,0.1999,0.1956,0.0043,0.9785,0.0248,0.4971,0.3279,0.1692,0.4548,0.4417,0.0131,0.9712,0.8253,1.7208,0.9518,0.507,0.4616,0.0454
11/3416,SlightPalsy,160.692,0.1664,0.1673,0.0008,0.995,0.0383,0.4395,0.4103,0.0292,0.4606,0.466,0.0053,0.9886,0.8506,2.5774,0.3842,0.4746,0.4686,0.006
11/3426,SlightPalsy,161.483,0.181,0.1724,0.0086,0.9527,0.0209,0.4088,0.454,0.0453,0.4603,0.4536,0.0067,0.9855,0.8631,1.3865,0.7317,0.4735,0.4687,0.0048
11/3441,SlightPalsy,160.094,0.1605,0.1532,0.0073,0.9546,0.0082,0.4061,0.439,0.0329,0.4841,0.4762,0.0079,0.9836,0.8451,0.5563,0.4633,0.4738,0.47,0.0038
11/3451,SlightPalsy,159.97,0.173,0.1685,0.0045,0.974,0.034,0.4282,0.4168,0.0114,0.472,0.4644,0.0076,0.984,0.8457,2.3052,0.4737,0.4805,0.4602,0.0203
11/3476,SlightPalsy,157.49,0.2478,0.2356,0.0121,0.951,0.0127,0.5377,0.3086,0.2291,0.4209,0.4038,0.0171,0.9594,0.8465,0.8568,0.3696,0.524,0.4554,0.0685
11/3491,SlightPalsy,157.167,0.1714,0.1887,0.0173,0.9086,0.0083,0.5378,0.3164,0.2213,0.424,0.419,0.005,0.9882,0.8543,0.555,0.6462,0.4876,0.4546,0.033
11/3501,SlightPalsy,157.637,0.1428,0.1535,0.0107,0.9301,0.0035,0.5244,0.3572,0.1672,0.4508,0.4374,0.0135,0.9702,0.8816,0.2249,1.0126,0.4793,0.4445,0.0348
11/3521,SlightPalsy,159.567,0.1667,0.1696,0.0029,0.9831,0.011,0.488,0.3301,0.1579,0.4375,0.4294,0.008,0.9817,0.8182,0.7691,0.7551,0.4808,0.4455,0.0353
11/3526,SlightPalsy,161.033,0.1667,0.1884,0.0217,0.8847,0.0427,0.4532,0.3361,0.1172,0.431,0.4289,0.0021,0.9951,0.7905,3.0931,1.0112,0.486,0.4657,0.0202
11/3551,SlightPalsy,159.72,0.1732,0.1892,0.0159,0.9157,0.0142,0.3995,0.4139,0.0144,0.4135,0.4141,0.0006,0.9986,0.8135,1.0005,0.3405,0.4732,0.4895,0.0163
11/356,Normal,158.187,0.1937,0.1929,0.0008,0.996,0.0433,0.3772,0.4216,0.0444,0.4322,0.4169,0.0153,0.9646,0.8,3.1026,0.7872,0.474,0.4861,0.0121
11/3601,SlightPalsy,162.357,0.1754,0.1744,0.001,0.9942,0.0524,0.4454,0.3521,0.0933,0.4437,0.4437,0.0,1.0,0.7992,3.7589,0.1832,0.485,0.4608,0.0242
11/3616,SlightPalsy,161.687,0.1886,0.1834,0.0052,0.9724,0.0513,0.4133,0.378,0.0353,0.4674,0.4603,0.0071,0.9848,0.793,3.7124,0.8156,0.4924,0.4712,0.0212
11/3621,SlightPalsy,159.914,0.1986,0.1968,0.0019,0.9907,0.0583,0.4376,0.3353,0.1023,0.4656,0.4559,0.0098,0.979,0.7751,4.3142,0.3822,0.4888,0.4657,0.0231
11/3641,SlightPalsy,159.5,0.1956,0.1902,0.0054,0.9725,0.0478,0.4329,0.3233,0.1095,0.4614,0.4441,0.0173,0.9625,0.7577,3.6181,0.324,0.492,0.4611,0.0309
11/3646,SlightPalsy,161.26,0.2073,0.2005,0.0068,0.9671,0.0203,0.4636,0.3422,0.1215,0.4521,0.4265,0.0255,0.9435,0.8061,1.4417,1.145,0.5062,0.4687,0.0376
11/3661,SlightPalsy,159.03,0.1961,0.1905,0.0056,0.9716,0.0431,0.4367,0.347,0.0897,0.4251,0.4114,0.0137,0.9677,0.7848,3.1477,0.5507,0.493,0.4716,0.0214
11/3676,SlightPalsy,162.705,0.2084,0.208,0.0005,0.9978,0.0024,0.4092,0.417,0.0078,0.4253,0.4207,0.0045,0.9894,0.8262,0.1631,0.6971,0.4822,0.4966,0.0143
11/3681,SlightPalsy,164.472,0.2015,0.1997,0.0018,0.9909,0.0129,0.4026,0.4142,0.0115,0.4284,0.429,0.0006,0.9985,0.8169,0.9018,0.4482,0.4817,0.4892,0.0075
11/3701,Normal,162.668,0.1954,0.1977,0.0024,0.988,0.0074,0.4121,0.4097,0.0024,0.4382,0.4375,0.0008,0.9983,0.8218,0.5173,0.4875,0.4877,0.4913,0.0037
11/371,SlightPalsy,158.707,0.2097,0.212,0.0023,0.9892,0.0203,0.4169,0.4043,0.0126,0.4347,0.4167,0.018,0.9586,0.8215,1.4169,0.6473,0.4903,0.4906,0.0003
11/3711,SlightPalsy,163.746,0.1865,0.1865,0.0,0.9999,0.0204,0.4304,0.3794,0.051,0.4367,0.4359,0.0008,0.9981,0.81,1.4429,0.4414,0.4725,0.4753,0.0028
11/3731,SlightPalsy,157.576,0.1452,0.1407,0.0045,0.9692,0.1245,0.4164,0.3206,0.0957,0.4439,0.4323,0.0116,0.9739,0.7474,9.5897,0.648,0.4659,0.4276,0.0383
11/3736,SlightPalsy,157.302,0.1505,0.1652,0.0146,0.9113,0.0449,0.5447,0.2998,0.2449,0.4413,0.4348,0.0065,0.9852,0.8456,3.0439,0.7852,0.4737,0.4326,0.0411
11/3741,SlightPalsy,159.659,0.1511,0.1678,0.0167,0.9003,0.021,0.5037,0.3241,0.1796,0.4351,0.4334,0.0017,0.996,0.8281,1.4557,0.4065,0.4717,0.4459,0.0258
11/3746,SlightPalsy,158.517,0.1481,0.1516,0.0035,0.9768,0.0809,0.4387,0.3452,0.0936,0.4581,0.4465,0.0116,0.9746,0.788,5.8941,0.4574,0.4654,0.445,0.0204
11/3756,SlightPalsy,161.202,0.1861,0.1951,0.009,0.954,0.0104,0.4662,0.3803,0.0859,0.4358,0.4266,0.0092,0.9788,0.8465,0.7064,0.6138,0.4856,0.4762,0.0095
11/3766,SlightPalsy,162.548,0.2027,0.2101,0.0074,0.9648,0.0798,0.4291,0.3675,0.0616,0.4374,0.4265,0.0109,0.975,0.8005,5.7221,0.6506,0.4927,0.4765,0.0161
11/3771,SlightPalsy,161.546,0.2083,0.2162,0.0079,0.9633,0.0596,0.4402,0.361,0.0792,0.4325,0.4179,0.0145,0.9664,0.8035,4.2522,1.1686,0.4948,0.4811,0.0138
11/3776,SlightPalsy,161.948,0.205,0.2142,0.0092,0.957,0.0699,0.4385,0.3737,0.0648,0.4324,0.4201,0.0124,0.9714,0.8153,4.9195,1.085,0.495,0.4856,0.0094
11/3781,SlightPalsy,161.918,0.22,0.2234,0.0033,0.985,0.0376,0.4584,0.3788,0.0796,0.4363,0.4259,0.0104,0.9762,0.838,2.5701,1.0471,0.498,0.4894,0.0086
11/3786,SlightPalsy,162.037,0.2095,0.2161,0.0066,0.9693,0.0264,0.4655,0.3693,0.0962,0.4408,0.4244,0.0163,0.963,0.8352,1.8112,1.0075,0.4883,0.4803,0.0081
11/3801,SlightPalsy,159.924,0.1848,0.1926,0.0077,0.96,0.018,0.539,0.3329,0.2061,0.4611,0.4406,0.0205,0.9555,0.8721,1.1836,0.9935,0.4921,0.4603,0.0318
11/3831,SlightPalsy,158.617,0.1562,0.1683,0.012,0.9286,0.0057,0.4858,0.3187,0.1672,0.4308,0.4214,0.0094,0.9783,0.8045,0.4049,0.406,0.4664,0.431,0.0355
11/3841,SlightPalsy,159.687,0.1782,0.1891,0.011,0.9421,0.0208,0.4036,0.3903,0.0132,0.4118,0.4111,0.0007,0.9982,0.7942,1.504,0.2138,0.473,0.4802,0.0072
11/386,SlightPalsy,155.85,0.2152,0.2161,0.0009,0.9959,0.0085,0.4144,0.3463,0.0681,0.4142,0.4025,0.0117,0.9717,0.7608,0.6364,0.4117,0.5007,0.4865,0.0142
11/3861,SlightPalsy,160.976,0.1889,0.1922,0.0032,0.9832,0.0065,0.3849,0.3931,0.0083,0.4127,0.4126,0.0001,0.9998,0.778,0.4812,0.3978,0.4788,0.4818,0.003
11/3866,SlightPalsy,160.427,0.1986,0.1983,0.0003,0.9987,0.0055,0.4022,0.3886,0.0135,0.4195,0.4185,0.001,0.9975,0.7908,0.4014,0.2034,0.4893,0.4861,0.0032
11/3896,SlightPalsy,160.036,0.1908,0.1885,0.0023,0.9879,0.0269,0.4302,0.3829,0.0472,0.4293,0.4269,0.0024,0.9944,0.8136,1.8913,0.2091,0.4844,0.4828,0.0016
11/3901,SlightPalsy,160.516,0.194,0.196,0.0019,0.9902,0.0062,0.4237,0.3942,0.0295,0.4307,0.4259,0.0048,0.9887,0.8179,0.4358,0.4743,0.4833,0.4823,0.0011
11/3906,SlightPalsy,160.126,0.1762,0.1801,0.0038,0.9787,0.019,0.4421,0.3681,0.074,0.4117,0.4192,0.0074,0.9823,0.8104,1.3401,0.0226,0.4851,0.4805,0.0045
11/391,SlightPalsy,156.465,0.2143,0.2113,0.003,0.9858,0.0031,0.4173,0.3653,0.052,0.4175,0.4015,0.016,0.9616,0.7827,0.2263,0.6549,0.4959,0.4836,0.0123
11/3916,SlightPalsy,159.195,0.1821,0.1874,0.0053,0.9719,0.0335,0.4736,0.3173,0.1564,0.4436,0.434,0.0096,0.9783,0.7916,2.4267,0.9718,0.4991,0.4612,0.0379
11/3921,SlightPalsy,160.511,0.1587,0.1739,0.0152,0.9127,0.0743,0.4676,0.3558,0.1118,0.4281,0.4247,0.0034,0.992,0.8267,5.1546,1.2061,0.4785,0.46,0.0185
11/3926,SlightPalsy,159.784,0.1559,0.177,0.0212,0.8804,0.081,0.5079,0.3627,0.1452,0.4114,0.4166,0.0051,0.9876,0.8744,5.3129,1.2692,0.476,0.4634,0.0125
11/3936,SlightPalsy,159.939,0.182,0.1909,0.0089,0.9533,0.0529,0.4574,0.3859,0.0715,0.4215,0.4219,0.0004,0.9991,0.8449,3.589,0.5326,0.4873,0.4794,0.0079
11/3946,SlightPalsy,159.961,0.2006,0.2045,0.004,0.9805,0.0458,0.4463,0.3953,0.0511,0.4278,0.4244,0.0034,0.992,0.8429,3.1117,0.0189,0.4871,0.4866,0.0005
11/3951,SlightPalsy,162.504,0.201,0.202,0.001,0.995,0.052,0.4184,0.3925,0.0259,0.4251,0.4217,0.0034,0.992,0.8126,3.6698,0.3287,0.4876,0.4859,0.0017
11/3956,SlightPalsy,162.101,0.1935,0.1967,0.0032,0.9838,0.0453,0.43,0.3818,0.0482,0.4437,0.4353,0.0085,0.9809,0.8131,3.197,0.5672,0.4863,0.482,0.0043
11/396,SlightPalsy,155.674,0.2377,0.2394,0.0017,0.993,0.0156,0.4942,0.3663,0.1279,0.4204,0.4019,0.0185,0.9561,0.8606,1.0361,0.4506,0.5112,0.4893,0.0219
11/3971,SlightPalsy,159.944,0.1577,0.1629,0.0051,0.9685,0.027,0.4377,0.4367,0.001,0.4356,0.4437,0.0081,0.9817,0.8748,1.766,0.2395,0.4656,0.4648,0.0008
11/3976,SlightPalsy,159.777,0.1665,0.1757,0.0092,0.9476,0.0212,0.4492,0.4372,0.0119,0.4302,0.4402,0.01,0.9772,0.8867,1.3702,0.185,0.4774,0.4774,0.0
11/3986,SlightPalsy,160.805,0.1854,0.185,0.0004,0.9979,0.0069,0.4347,0.4353,0.0006,0.4187,0.4244,0.0057,0.9866,0.8701,0.4551,0.1727,0.4818,0.4812,0.0006
11/3996,SlightPalsy,161.0,0.2047,0.2028,0.002,0.9904,0.0269,0.396,0.3974,0.0015,0.4246,0.4149,0.0097,0.9772,0.7938,1.9409,0.2651,0.4911,0.4882,0.003
11/401,SlightPalsy,156.434,0.24,0.2405,0.0006,0.9977,0.0214,0.4845,0.3583,0.1262,0.4167,0.3936,0.0232,0.9443,0.843,1.4576,0.9755,0.5139,0.4915,0.0224
